#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- standard track names

  T11	= Luigi Circuit
  T12	= Moo Moo Meadows
  T13	= Mushroom Gorge
  T14	= Toad's Factory

  T21	= Mario Circuit
  T22	= Coconut Mall
  T23	= DK Summit
  T24	= Wario's Gold Mine

  T31	= Daisy Circuit
  T32	= Koopa Cape
  T33	= Maple Treeway
  T34	= Grumble Volcano

  T41	= Dry Dry Ruins
  T42	= Moonview Highway
  T43	= Bowser's Castle
  T44	= Rainbow Road

  T51	= GCN Peach Beach
  T52	= DS Yoshi Falls
  T53	= SNES Ghost Valley 2
  T54	= N64 Mario Raceway

  T61	= N64 Sherbet Land
  T62	= GBA Shy Guy Beach
  T63	= DS Delfino Square
  T64	= GCN Waluigi Stadium

  T71	= DS Desert Hills
  T72	= GBA Bowser Castle 3
  T73	= N64 DK's Jungle Parkway
  T74	= GCN Mario Circuit

  T81	= SNES Mario Circuit 3
  T82	= DS Peach Gardens
  T83	= GCN DK Mountain
  T84	= N64 Bowser's Castle

#--- battle track names

  U11	= Block Plaza
  U12	= Delfino Pier
  U13	= Funky Stadium
  U14	= Chain Chomp Wheel
  U15	= Thwomp Desert

  U21	= SNES Battle Course 4
  U22	= GBA Battle Course 3
  U23	= N64 Skyscraper
  U24	= GCN Cookie Land
  U25	= DS Twilight House

  2328	= Mario
  2329	= Baby Peach
  232a	= Waluigi
  232b	= Bowser
  232c	= Baby Daisy
  232d	= Dry Bones
  232e	= Baby Mario
  232f	= Luigi
  2330	= Toad
  2331	= Donkey Kong
  2332	= Yoshi
  2333	= Wario
  2334	= Baby Luigi
  2335	= Toadette
  2336	= Koopa Troopa
  2337	= Daisy
  2338	= Peach
  2339	= Birdo
  233a	= Diddy Kong
  233b	= King Boo
  233c	= Bowser Jr.
  233d	= Dry Bowser
  233e	= Funky Kong
  233f	= Rosalina
  2340	= Mii
  235a	= \z{802,120000}
  235b	= \z{802,120000}
  235c	= Mii Outfit A
  235d	= Mii Outfit B
  235e	/
  238c	= Standard Kart S
  238d	= Standard Kart M
  238e	= Standard Kart L
  238f	= Booster Seat
  2390	= Classic Dragster
  2391	= Offroader
  2392	= Mini Beast
  2393	= Wild Wing
  2394	= Flame Flyer
  2395	= Cheep Charger
  2396	= Super Blooper
  2397	= Piranha Prowler
  2398	= Tiny Titan
  2399	= Daytripper
  239a	= Jetsetter
  239b	= Blue Falcon
  239c	= Sprinter
  239d	= Honeycoupe
  239e	= Standard Kart S
  239f	= Standard Kart M
  23a0	= Standard Kart L
  23a1	= Standard Kart S
  23a2	= Standard Kart M
  23a3	= Standard Kart L
  23a4	= 
  23be	= Standard Bike S
  23bf	= Standard Bike M
  23c0	= Standard Bike L
  23c1	= Bullet Bike
  23c2	= Mach Bike
  23c3	= Flame Runner
  23c4	= Bit Bike
  23c5	= Sugarscoot
  23c6	= Wario Bike
  23c7	= Quacker
  23c8	= Zip Zip
  23c9	= Shooting Star
  23ca	= Magikruiser
  23cb	= Sneakster
  23cc	= Spear
  23cd	= Jet Bubble
  23ce	= Dolphin Dasher
  23cf	= Phantom
  23d0	= Standard Bike S
  23d1	= Standard Bike M
  23d2	= Standard Bike L
  23d3	= Standard Bike S
  23d4	= Standard Bike M
  23d5	= Standard Bike L
  23d6	/

#--- [23f0:23f7] racing cup names
  23f0	= Mushroom Cup
  23f1	= Flower Cup
  23f2	= Star Cup
  23f3	= Special Cup
  23f4	= Shell Cup
  23f5	= Banana Cup
  23f6	= Leaf Cup
  23f7	= Lightning Cup

  23f8	= Galaxy Colosseum

  2486	/
  2487	= Balloon Battle
  2488	= Coin Runners

#--- [2489:248a] battle cup names
  2489	= Wii Stages
  248a	= Retro Stages

  248b	/

  24b0	/

  24c2	/

  24d6	/
  24ea	= GCN Cookie Land
  24eb	= DS Twilight House
  24ec	= SNES Battle Course 4
  24ed	= GBA Battle Course 3
  24ee	= N64 Skyscraper
  24ef	/
  251c	= Player \z{802,120000}
  251d	= \z{802,120000}
  251e	= \z{802,140000}
  251f	= \z{802,150000}
  2520	= \z{803,100000}
  2521	/
  254e	= P1
  254f	= P2
  2550	= P3
  2551	= P4
  2552	/
  2580	= \u{2460}
  2581	= \u{2461}
  2582	= \u{2462}
  2583	= \u{2463}
  2584	= \u{2464}
  2585	= \u{2465}
  2586	= \u{2466}
  2587	= \u{2467}
  2588	= \u{2468}
  2589	= \u{2469}
  258a	= \u{246a}
  258b	= \u{246b}
  258c	= /\u{246c}
  258d	= -\u{246d}
  258e	= +\u{246e}
  258f	/
  25b2	= \z{802,110000}\z{802,110001}\z{802,110002}\z{802,110003}\z{802,110004}
	+ \z{802,110005}\z{802,110006}\z{802,110007}\z{802,110008}
  25b3	= \u{246d}\z{802,110000}\z{802,110001}\z{802,110002}\z{802,110003}
	+ \z{802,110004}\z{802,110005}\z{802,110006}\z{802,110007}\z{802,110008}
  25b4	= \u{246e}\z{802,110000}\z{802,110001}\z{802,110002}\z{802,110003}
	+ \z{802,110004}\z{802,110005}\z{802,110006}\z{802,110007}\z{802,110008}
  25b5	= \z{802,110000}\z{800,46}/\z{802,110001}
  25b6	= \z{802,110000}\z{802,110001}\z{800,46}/\z{802,110002}\z{802,110003}
  25b7	= \z{802,110000}\z{802,110001}\z{802,110002}\z{800,46}/\z{802,110003}
	+ \z{802,110004}\z{802,110005}
  25b8	/
  25e4	= VR
  25e5	= BR
  25e6	= RANK
  25e7	= Guest
  25e8	= ----
  25e9	/
  25ee	= \u{f060}
  25ef	= \u{f061}
  25f0	= \u{f062}
  25f1	= \u{f063}
  25f2	= \u{f064}
  25f3	= \u{f065}
  25f4	= \u{f066}
  25f5	= \u{f067}
  25f6	= \u{f074}
  25f7	= \u{f075}
  25f8	= \u{f076}
  25f9	= \u{f077}
  25fa	/
  26ac	= Communication with the\n
	+ controller has been interrupted. \n
	+ Please press the A Button.
  26ad	= The controller has changed.\n
	+ Please press the A Button.
  26ae	= You can't change controls while\n
	+ playing. Please restore the\n
	+ original controls.
  26af	= You can't change controls while\n
	+ playing on Nintendo WFC. Please\n
	+ restore the original controls.
  26b0	= This tournament is for Wii Wheels\n
	+ only. Set the Wii Remote in the\n
	+ Wii Wheel and press the A Button.
  270f	= ?

